Verb,Tense,Subject
আঁক,Root,2nd_i
আঁকা,Base,pos_f
আঁকাই,Present,1st
আঁকাইও,Present,2nd_f
আঁকাইত,Past,3rd_f
আঁকাইতাম,Past,1st
আঁকাইতিস,Past,2nd_i
আঁকাইতে,Past,2nd_f
আঁকাইতেছ,Present,2nd_f
আঁকাইতেছি,Present,1st
আঁকাইতেছিল,Past,3rd_f
আঁকাইতেছিলাম,Past,1st
আঁকাইতেছিলি,Past,1st
আঁকাইতেছিলে,Past,2nd_f
আঁকাইতেছিলেন,Past,pol_f
আঁকাইতেছিস,Present,2nd_i
আঁকাইতেছে,Present,2nd_f
আঁকাইতেছেন,Present,pol_f
আঁকাইতেন,Past,pol_f
আঁকাইব,Future,1st
আঁকাইবার,Present,404_f
আঁকাইবি,Future,1st
আঁকাইবে,Future,2nd_f
আঁকাইবেন,Future,pol_f
আঁকাইয়া,Participle,404_f
আঁকাইয়াছ,Present,2nd_f
আঁকাইয়াছি,Present,1st
আঁকাইয়াছিল,Past,3rd_f
আঁকাইয়াছিলাম,Past,1st
আঁকাইয়াছিলি,Past,1st
আঁকাইয়াছিলে,Past,2nd_f
আঁকাইয়াছিলেন,Past,pol_f
আঁকাইয়াছিস,Present,2nd_i
আঁকাইয়াছে,Present,3rd_f
আঁকাইয়াছেন,Present,pol_f
আঁকাইয়ো,Present,2nd_f
আঁকাইল,Past,3rd_f
আঁকাইলাম,Past,1st
আঁকাইলি,Past,1st
আঁকাইলে,Past,2nd_f
আঁকাইলেন,Past,pol_f
আঁকাও,Present,2nd_f
আঁকাক,Present,3rd_f
আঁকাচ্ছ,Present,2nd_f
আঁকাচ্ছি,Present,1st
আঁকাচ্ছিল,Past,3rd_f
আঁকাচ্ছিলাম,Past,1st
আঁকাচ্ছিলি,Past,1st
আঁকাচ্ছিলুম,Past,1st
আঁকাচ্ছিলে,Past,2nd_f
আঁকাচ্ছিলেন,Past,pol_f
আঁকাচ্ছিলেম,Past,1st
আঁকাচ্ছিস,Present,2nd_i
আঁকাচ্ছে,Present,3rd_f
আঁকাচ্ছেন,Present,pol_f
আঁকাত,Past,3rd_f
আঁকাতাম,Past,1st
আঁকাতিস,Past,2nd_i
আঁকাতুম,Past,1st
আঁকাতে,Past,2nd_f
আঁকাতেন,Past,pol_f
আঁকাতেম,Past,1st
আঁকান,Present,pol_f
আঁকানো,Present,obj_f
আঁকাব,Future,1st
আঁকাবার,Present,404_f
আঁকাবি,Future,1st
আঁকাবে,Future,2nd_f
আঁকাবেন,Future,pol_f
আঁকাবো,Future,1st
আঁকায়,Present,3rd_f
আঁকার,Present,404_f
আঁকাল,Past,3rd_f
আঁকালাম,Past,1st
আঁকালি,Past,1st
আঁকালুম,Past,1st
আঁকালে,Past,2nd_f
আঁকালেন,Past,pol_f
আঁকালেম,Past,1st
আঁকাস,Present,2nd_i
আঁকি,Present,1st
আঁকিও,Present,2nd_f
আঁকিত,Past,3rd_f
আঁকিতাম,Past,1st
আঁকিতিস,Past,2nd_i
আঁকিতে,Past,2nd_f
আঁকিতেছ,Present,2nd_f
আঁকিতেছি,Present,1st
আঁকিতেছিল,Past,3rd_f
আঁকিতেছিলাম,Past,1st
আঁকিতেছিলি,Past,1st
আঁকিতেছিলে,Past,2nd_f
আঁকিতেছিলেন,Past,pol_f
আঁকিতেছিস,Present,2nd_i
আঁকিতেছে,Present,2nd_f
আঁকিতেছেন,Present,pol_f
আঁকিতেন,Past,pol_f
আঁকিব,Future,1st
আঁকিবার,Present,404_f
আঁকিবি,Future,1st
আঁকিবে,Future,2nd_f
