Sentence,Tense
আজ আঁক তুই,Present_Imp
তোরা আজকে আঁক,Present_Imp
আমার আঁকা উচিত,Present_Imp
আমাদের প্রয়োজন আঁকা,Present_Imp
তোমার আঁকা উচিত,Present_Imp
উচিত আঁকা তোমাদের,Present_Imp
তোর দরকার আঁকা,Present_Imp
তোদের দরকার আঁকা,Present_Imp
তার আঁকা উচিৎ,Present_Imp
তাদের দরকার আঁকা,Present_Imp
উচিৎ আঁকা আপনার,Present_Imp
আপনাদের উচিত আঁকা,Present_Imp
উনার দরকার আঁকা,Present_Imp
উনাদের আঁকা উচিৎ,Present_Imp
আমি আঁকাই আজকে,Present_Nrm
আমরা আঁকাই এখন,Present_Nrm
তুমি বর্তমানে আঁকাইও,Present_Nrm
তোমরা আজকে আঁকাইও,Present_Nrm
সে আজ আঁকাইত,Past_Nrm
আজকে আঁকাইত তারা,Past_Nrm
এখন আঁকাইতাম আমি,Past_Nrm
আমরা আজকে আঁকাইতাম,Past_Nrm
অতীতে আঁকাইতিস তুই,Past_Nrm
তোরা আঁকাইতিস আজকে,Past_Nrm
তুমি গতকাল আঁকাইতে,Past_Nrm
তোমরা আঁকাইতে অতীতে,Past_Nrm
আজকে আঁকাইতেছ তুমি,Present_Nrm
তোমরা এখন আঁকাইতেছ,Present_Nrm
আমি আজ আঁকাইতেছি,Present_Nrm
আমরা আজ আঁকাইতেছি,Present_Nrm
সে আঁকাইতেছিল অতীতে,Past_Nrm
তারা আঁকাইতেছিল আগে,Past_Nrm
আমি আগে আঁকাইতেছিলাম,Past_Nrm
আমরা আঁকাইতেছিলাম এখনই,Past_Nrm
আজ আঁকাইতেছিলি তুই,Past_Nrm
তোরা আঁকাইতেছিলি আজ,Past_Nrm
এখনই আঁকাইতেছিলে তুমি,Past_Nrm
তোমরা আঁকাইতেছিলে এখন,Past_Nrm
পূর্বে আঁকাইতেছিলেন আপনি,Past_Nrm
আজ আঁকাইতেছিলেন আপনারা,Past_Nrm
উনি আঁকাইতেছিলেন সেদিন,Past_Nrm
উনারা আঁকাইতেছিলেন অতীতে,Past_Nrm
পূর্বে আঁকাইতেছিলেন তিনি,Past_Nrm
তুই এখন আঁকাইতেছিস,Present_Nrm
বর্তমানে আঁকাইতেছিস তোরা,Present_Nrm
সে আঁকাইতেছে এখনই,Present_Nrm
এখন আঁকাইতেছে তারা,Present_Nrm
আপনি আঁকাইতেছেন আজকে,Present_Nrm
আপনারা আঁকাইতেছেন বর্তমানে,Present_Nrm
উনি আঁকাইতেছেন এখন,Present_Nrm
আজ আঁকাইতেছেন উনারা,Present_Nrm
আজ আঁকাইতেছেন তিনি,Present_Nrm
আপনি আঁকাইতেন এখনই,Past_Nrm
আপনারা আঁকাইতেন এখন,Past_Nrm
উনি অতীতে আঁকাইতেন,Past_Nrm
উনারা আজকে আঁকাইতেন,Past_Nrm
তিনি পূর্বে আঁকাইতেন,Past_Nrm
আমি আঁকাইব আজকে,Future_Nrm
আমরা আঁকাইব এখনই,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
তুই আঁকাইবি আগামিকাল,Future_Nrm
তোরা আঁকাইবি শীঘ্রই,Future_Nrm
এখন আঁকাইবে তুমি,Future_Nrm
তোমরা আগামিকাল আঁকাইবে,Future_Nrm
আপনি ভবিষ্যতে আঁকাইবেন,Future_Nrm
আপনারা আঁকাইবেন এখনই,Future_Nrm
উনি এখন আঁকাইবেন,Future_Nrm
আগামীকাল আঁকাইবেন উনারা,Future_Nrm
তিনি আঁকাইবেন আজ,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
বর্তমানে আঁকাইয়াছ তুমি,Present_Nrm
তোমরা এখনই আঁকাইয়াছ,Present_Nrm
আমি এখনই আঁকাইয়াছি,Present_Nrm
বর্তমানে আঁকাইয়াছি আমরা,Present_Nrm
আগে আঁকাইয়াছিল সে,Past_Nrm
তারা আঁকাইয়াছিল পূর্বে,Past_Nrm
আমি আঁকাইয়াছিলাম পূর্বে,Past_Nrm
আজকে আঁকাইয়াছিলাম আমরা,Past_Nrm
তুই আঁকাইয়াছিলি গতকাল,Past_Nrm
এখন আঁকাইয়াছিলি তোরা,Past_Nrm
তুমি পূর্বে আঁকাইয়াছিলে,Past_Nrm
তোমরা আঁকাইয়াছিলে এখন,Past_Nrm
আপনি এখনই আঁকাইয়াছিলেন,Past_Nrm
আপনারা আঁকাইয়াছিলেন গতকাল,Past_Nrm
উনি গতকাল আঁকাইয়াছিলেন,Past_Nrm
এখনই আঁকাইয়াছিলেন উনারা,Past_Nrm
পূর্বে আঁকাইয়াছিলেন তিনি,Past_Nrm
তুই আঁকাইয়াছিস এখনই,Present_Nrm
তোরা আজকে আঁকাইয়াছিস,Present_Nrm
সে আঁকাইয়াছে এখন,Present_Nrm
এখনই আঁকাইয়াছে তারা,Present_Nrm
আপনি বর্তমানে আঁকাইয়াছেন,Present_Nrm
আপনারা আজকে আঁকাইয়াছেন,Present_Nrm
উনি আজকে আঁকাইয়াছেন,Present_Nrm
উনারা আঁকাইয়াছেন আজ,Present_Nrm
তিনি বর্তমানে আঁকাইয়াছেন,Present_Nrm
তুমি আঁকাইয়ো এখনই,Present_Nrm
বর্তমানে আঁকাইয়ো তোমরা,Present_Nrm
সে আঁকাইল আজ,Past_Nrm
তারা পূর্বে আঁকাইল,Past_Nrm
আগে আঁকাইলাম আমি,Past_Nrm
আজ আঁকাইলাম আমরা,Past_Nrm
তুই এখনই আঁকাইলি,Past_Nrm
এখনই আঁকাইলি তোরা,Past_Nrm
পূর্বে আঁকাইলে তুমি,Past_Nrm
অতীতে আঁকাইলে তোমরা,Past_Nrm
এখন আঁকাইলেন আপনি,Past_Nrm
আপনারা আঁকাইলেন আজকে,Past_Nrm
সেদিন আঁকাইলেন উনি,Past_Nrm
উনারা আঁকাইলেন আগে,Past_Nrm
তিনি আঁকাইলেন এখনই,Past_Nrm
তুমি আঁকাও এখন,Present_Nrm
তোমরা এখনই আঁকাও,Present_Nrm
আজকে আঁকাক সে,Present_Nrm
তারা আঁকাক এখন,Present_Nrm
তুমি আজকে আঁকাচ্ছ,Present_Nrm
তোমরা বর্তমানে আঁকাচ্ছ,Present_Nrm
এখন আঁকাচ্ছি আমি,Present_Nrm
আমরা আজকে আঁকাচ্ছি,Present_Nrm
অতীতে আঁকাচ্ছিল সে,Past_Nrm
পূর্বে আঁকাচ্ছিল তারা,Past_Nrm
আমি আঁকাচ্ছিলাম আগে,Past_Nrm
আমরা আঁকাচ্ছিলাম আজকে,Past_Nrm
অতীতে আঁকাচ্ছিলি তুই,Past_Nrm
তোরা আঁকাচ্ছিলি আগে,Past_Nrm
আমি আজ আঁকাচ্ছিলুম,Past_Nrm
এখন আঁকাচ্ছিলুম আমরা,Past_Nrm
তুমি গতকাল আঁকাচ্ছিলে,Past_Nrm
এখন আঁকাচ্ছিলে তোমরা,Past_Nrm
আপনি আঁকাচ্ছিলেন সেদিন,Past_Nrm
আপনারা এখনই আঁকাচ্ছিলেন,Past_Nrm
অতীতে আঁকাচ্ছিলেন উনি,Past_Nrm
উনারা পূর্বে আঁকাচ্ছিলেন,Past_Nrm
তিনি পূর্বে আঁকাচ্ছিলেন,Past_Nrm
আমি গতকাল আঁকাচ্ছিলেম,Past_Nrm
এখনই আঁকাচ্ছিলেম আমরা,Past_Nrm
এখনই আঁকাচ্ছিস তুই,Present_Nrm
তোরা আজকে আঁকাচ্ছিস,Present_Nrm
সে আঁকাচ্ছে এখনই,Present_Nrm
এখনই আঁকাচ্ছে তারা,Present_Nrm
এখনই আঁকাচ্ছেন আপনি,Present_Nrm
আপনারা আঁকাচ্ছেন আজকে,Present_Nrm
বর্তমানে আঁকাচ্ছেন উনি,Present_Nrm
উনারা আজকে আঁকাচ্ছেন,Present_Nrm
আজকে আঁকাচ্ছেন তিনি,Present_Nrm
সে সেদিন আঁকাত,Past_Nrm
তারা আঁকাত আগে,Past_Nrm
এখনই আঁকাতাম আমি,Past_Nrm
আমরা আঁকাতাম গতকাল,Past_Nrm
গতকাল আঁকাতিস তুই,Past_Nrm
আগে আঁকাতিস তোরা,Past_Nrm
আমি এখনই আঁকাতুম,Past_Nrm
আগে আঁকাতুম আমরা,Past_Nrm
অতীতে আঁকাতে তুমি,Past_Nrm
গতকাল আঁকাতে তোমরা,Past_Nrm
আপনি অতীতে আঁকাতেন,Past_Nrm
আপনারা সেদিন আঁকাতেন,Past_Nrm
উনি আজ আঁকাতেন,Past_Nrm
এখন আঁকাতেন উনারা,Past_Nrm
সেদিন আঁকাতেন তিনি,Past_Nrm
পূর্বে আঁকাতেম আমি,Past_Nrm
সেদিন আঁকাতেম আমরা,Past_Nrm
আপনি আঁকান আজ,Present_Nrm
আপনারা আঁকান এখন,Present_Nrm
উনি বর্তমানে আঁকান,Present_Nrm
উনারা আঁকান আজকে,Present_Nrm
আজকে আঁকান তিনি,Present_Nrm
আমাকে প্রয়োজন আঁকানো,Present_Nrm
আমাদেরকে প্রয়োজন আঁকানো,Present_Nrm
প্রয়োজন আঁকানো তোমাকে,Present_Nrm
