Id,Sentence,Tense
1,তুই আঁক বর্তমানে,Present_Imp
2,বর্তমানে আঁক তোরা,Present_Imp
3,আমার দরকার আঁকা,Present_Imp
4,আমাদের আঁকা দরকার,Present_Imp
5,তোমার আঁকা দরকার,Present_Imp
6,তোমাদের উচিত আঁকা,Present_Imp
7,তোর দরকার আঁকা,Present_Imp
8,উচিৎ আঁকা তোদের,Present_Imp
9,তার প্রয়োজন আঁকা,Present_Imp
10,তাদের দরকার আঁকা,Present_Imp
11,আপনার আঁকা উচিৎ,Present_Imp
12,প্রয়োজন আঁকা আপনাদের,Present_Imp
13,দরকার আঁকা উনার,Present_Imp
14,উনাদের আঁকা উচিত,Present_Imp
15,আমি আঁকাই আজ,Present_Nrm
16,আজ আঁকাই আমরা,Present_Nrm
17,আজ আঁকাইও তুমি,Present_Nrm
18,তোমরা আঁকাইও বর্তমানে,Present_Nrm
19,সে আঁকাইত আজ,Past_Nrm
20,তারা আঁকাইত পূর্বে,Past_Nrm
21,অতীতে আঁকাইতাম আমি,Past_Nrm
22,আমরা অতীতে আঁকাইতাম,Past_Nrm
23,অতীতে আঁকাইতিস তুই,Past_Nrm
24,এখনই আঁকাইতিস তোরা,Past_Nrm
25,তুমি আঁকাইতে আজ,Past_Nrm
26,তোমরা আজ আঁকাইতে,Past_Nrm
27,তুমি আঁকাইতেছ আজকে,Present_Nrm
28,তোমরা এখন আঁকাইতেছ,Present_Nrm
29,আমি বর্তমানে আঁকাইতেছি,Present_Nrm
30,বর্তমানে আঁকাইতেছি আমরা,Present_Nrm
31,সে গতকাল আঁকাইতেছিল,Past_Nrm
32,তারা অতীতে আঁকাইতেছিল,Past_Nrm
33,আমি আঁকাইতেছিলাম সেদিন,Past_Nrm
34,আমরা এখন আঁকাইতেছিলাম,Past_Nrm
35,তুই গতকাল আঁকাইতেছিলি,Past_Nrm
36,তোরা অতীতে আঁকাইতেছিলি,Past_Nrm
37,এখনই আঁকাইতেছিলে তুমি,Past_Nrm
38,গতকাল আঁকাইতেছিলে তোমরা,Past_Nrm
39,আপনি আগে আঁকাইতেছিলেন,Past_Nrm
40,সেদিন আঁকাইতেছিলেন আপনারা,Past_Nrm
41,উনি আজকে আঁকাইতেছিলেন,Past_Nrm
42,উনারা এখনই আঁকাইতেছিলেন,Past_Nrm
43,পূর্বে আঁকাইতেছিলেন তিনি,Past_Nrm
44,তুই আজকে আঁকাইতেছিস,Present_Nrm
45,আজকে আঁকাইতেছিস তোরা,Present_Nrm
46,সে আঁকাইতেছে এখন,Present_Nrm
47,তারা আঁকাইতেছে বর্তমানে,Present_Nrm
48,আজ আঁকাইতেছেন আপনি,Present_Nrm
49,আপনারা এখন আঁকাইতেছেন,Present_Nrm
50,এখন আঁকাইতেছেন উনি,Present_Nrm
51,উনারা আঁকাইতেছেন আজকে,Present_Nrm
52,এখনই আঁকাইতেছেন তিনি,Present_Nrm
53,এখনই আঁকাইতেন আপনি,Past_Nrm
54,সেদিন আঁকাইতেন আপনারা,Past_Nrm
55,উনি পূর্বে আঁকাইতেন,Past_Nrm
56,আগে আঁকাইতেন উনারা,Past_Nrm
57,তিনি সেদিন আঁকাইতেন,Past_Nrm
58,শীঘ্রই আঁকাইব আমি,Future_Nrm
59,পরশু আঁকাইব আমরা,Future_Nrm
60,তুই আঁকাইবি আগামিকাল,Future_Nrm
61,তোরা আঁকাইবি আগামীকাল,Future_Nrm
62,তুমি আগামীকাল আঁকাইবে,Future_Nrm
63,তোমরা আঁকাইবে শীঘ্রই,Future_Nrm
64,আপনি আঁকাইবেন শীঘ্রই,Future_Nrm
65,ভবিষ্যতে আঁকাইবেন আপনারা,Future_Nrm
66,পরশু আঁকাইবেন উনি,Future_Nrm
67,উনারা আঁকাইবেন এখন,Future_Nrm
68,তিনি আজ আঁকাইবেন,Future_Nrm
69,তুমি আঁকাইয়াছ এখনই,Present_Nrm
70,তোমরা আঁকাইয়াছ বর্তমানে,Present_Nrm
71,আমি আঁকাইয়াছি আজ,Present_Nrm
72,আজকে আঁকাইয়াছি আমরা,Present_Nrm
73,সে আগে আঁকাইয়াছিল,Past_Nrm
